ID,Prob1
0, 0.77
1, 0.57
2, 0.12
3, 0.06
4, 0.41
5, 0.23
6, 0.26
7, 0.31
8, 0.01
9, 0.16
10, 0.40
11, 0.16
12, 0.61
13, 0.39
14, 0.33
15, 0.40
16, 0.59
17, 0.88
18, 0.08
19, 0.34
20, 0.85
21, 0.43
22, 0.24
23, 0.28
24, 0.10
25, 0.83
26, 0.59
27, 0.28
28, 0.31
29, 0.18
30, 0.64
31, 0.42
32, 0.34
33, 0.04
34, 0.55
35, 0.39
36, 0.28
37, 0.26
38, 0.34
39, 0.17
40, 0.00
41, 0.68
42, 0.22
43, 0.41
44, 0.79
45, 0.07
46, 0.55
47, 0.19
48, 0.96
49, 0.26
50, 0.22
51, 0.20
52, 0.80
53, 0.05
54, 0.11
55, 0.19
56, 0.00
57, 0.26
58, 0.20
59, 0.00
60, 0.14
61, 0.44
62, 0.48
63, 0.65
64, 0.11
65, 0.08
66, 0.42
67, 0.14
68, 0.00
69, 0.47
70, 0.08
71, 0.21
72, 0.33
73, 0.69
74, 0.77
75, 0.20
76, 0.15
77, 0.28
78, 0.26
79, 0.05
80, 0.09
81, 0.43
82, 0.68
83, 0.25
84, 0.32
85, 0.25
86, 0.57
87, 0.57
88, 0.27
89, 0.08
90, 0.16
91, 0.10
92, 0.92
93, 0.56
94, 0.47
95, 0.08
96, 0.00
97, 0.16
98, 0.26
99, 0.12
100, 0.71
101, 0.64
102, 0.16
103, 0.62
104, 0.13
105, 0.41
106, 0.42
107, 0.69
108, 0.37
109, 0.39
110, 0.04
111, 0.35
112, 0.78
113, 0.04
114, 0.20
115, 0.16
116, 0.28
117, 0.50
118, 0.27
119, 0.33
120, 0.57
121, 0.53
122, 0.38
123, 0.35
124, 0.07
125, 0.47
126, 0.56
127, 0.38
128, 0.91
129, 0.83
130, 0.35
131, 0.18
132, 0.41
133, 0.37
134, 0.54
135, 0.93
136, 0.30
137, 0.74
138, 0.03
139, 0.61
140, 0.26
141, 0.05
142, 0.65
143, 0.04
144, 0.42
145, 0.13
146, 0.95
147, 0.30
148, 0.25
149, 0.14
150, 0.24
151, 0.52
152, 0.23
153, 0.67
154, 0.14
155, 0.16
156, 0.42
157, 0.32
158, 0.37
159, 0.48
160, 0.50
161, 0.23
162, 0.50
163, 0.55
164, 0.92
165, 0.15
166, 0.32
167, 0.47
168, 0.48
169, 0.15
170, 0.40
171, 0.32
172, 0.47
173, 0.08
174, 0.32
175, 0.22
176, 0.75
177, 0.13
178, 0.41
179, 0.93
180, 0.69
181, 0.02
182, 0.29
183, 0.15
184, 0.29
185, 0.05
186, 0.53
187, 0.25
188, 0.39
189, 0.27
190, 0.20
191, 0.39
192, 0.23
193, 0.82
194, 0.07
195, 0.39
196, 0.59
197, 0.18
198, 0.53
199, 0.70
200, 0.12
201, 0.62
202, 0.15
203, 0.27
204, 0.38
205, 0.00
206, 0.21
207, 0.01
208, 0.33
209, 0.19
210, 0.40
211, 0.24
212, 0.62
213, 0.09
214, 0.50
215, 0.24
216, 0.53
217, 0.50
218, 0.39
219, 0.76
220, 0.60
221, 0.26
222, 0.60
223, 0.49
224, 0.87
225, 0.77
226, 0.87
227, 0.40
228, 0.26
229, 0.08
230, 0.87
231, 0.88
232, 0.04
233, 0.02
234, 0.25
235, 0.10
236, 0.15
237, 0.04
238, 0.45
239, 0.30
240, 0.32
241, 0.16
242, 0.06
243, 0.90
244, 0.08
245, 0.53
246, 0.49
247, 0.38
248, 0.59
249, 0.65
250, 0.55
251, 0.64
252, 0.30
253, 0.02
254, 0.19
255, 0.71
256, 0.91
257, 0.14
258, 0.27
259, 0.73
260, 0.41
261, 0.16
262, 0.17
263, 0.18
264, 0.38
265, 0.14
266, 0.04
267, 0.43
268, 0.39
269, 0.35
270, 0.10
271, 0.44
272, 0.24
273, 0.23
274, 0.42
275, 0.61
276, 0.30
277, 0.22
278, 0.35
279, 0.48
280, 0.14
281, 0.05
282, 0.17
283, 0.60
284, 0.58
285, 0.67
286, 0.21
287, 0.03
288, 0.02
289, 0.29
290, 0.95
291, 0.31
292, 0.22
